"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 07 00:00:36 CET 2021","Sun Mar 07 00:00:42 CET 2021","6930","","MarketPlace Test - Search Box Returns Relevant Results","","MarketPlace Test - Search Box Returns Relevant Results","Sort by Name","Sort by Name",""
"passed","Sat Mar 06 23:59:19 CET 2021","Sat Mar 06 23:59:22 CET 2021","3365","","MarketPlace Test - Download Free Product","","MarketPlace Test - Download Free Product","Navigate to market place and Verify the title and page url","Navigate to market place and Verify the title and page url",""
"passed","Sun Mar 07 00:00:04 CET 2021","Sun Mar 07 00:00:07 CET 2021","2522","","Registration Test","","Registration Test","Check Registration Page Logo and label is visible","Check Registration Page Logo and label is visible",""
"passed","Sat Mar 06 23:59:51 CET 2021","Sat Mar 06 23:59:56 CET 2021","4745","","Login Test - Valid Login","","Login Test - Valid Login","Enter User credentials for valid login","Enter User credentials for valid login",""
"passed","Sat Mar 06 23:59:34 CET 2021","Sat Mar 06 23:59:45 CET 2021","11123","","MarketPlace Test - Download Free Product","","MarketPlace Test - Download Free Product","Enter User credentials to login then navigate to Market Place and download the free product","Enter User credentials to login then navigate to Market Place and download the free product",""
"passed","Sat Mar 06 23:59:23 CET 2021","Sat Mar 06 23:59:28 CET 2021","4586","","MarketPlace Test - Download Free Product","","MarketPlace Test - Download Free Product","Click on the market Place free product and click Download","Click on the market Place free product and click Download",""
"passed","Sat Mar 06 23:59:53 CET 2021","Sat Mar 06 23:59:56 CET 2021","2383","","Login Test - Invalid Login with Incorrect Email","","Login Test - Invalid Login with Incorrect Email","Enter wrong email for Invalid login","Enter wrong email for Invalid login",""
"passed","Sun Mar 07 00:00:10 CET 2021","Sun Mar 07 00:00:13 CET 2021","2631","","MarketPlace Test - Search Box Returns Relevant Results","","MarketPlace Test - Search Box Returns Relevant Results","Navigate to market place and Verify the title and page url","Navigate to market place and Verify the title and page url",""
"passed","Sun Mar 07 00:00:02 CET 2021","Sun Mar 07 00:00:04 CET 2021","2042","","Forgot Password Test","","Forgot Password Test","Enetr email for forgot password and Verify email sent success message","Enetr email for forgot password and Verify email sent success message",""
"passed","Sat Mar 06 23:59:56 CET 2021","Sat Mar 06 23:59:58 CET 2021","2219","","Login Test - Invalid Login with Incorrect Password","","Login Test - Invalid Login with Incorrect Password","Enter wrong password for Invalid login","Enter wrong password for Invalid login",""
"passed","Sun Mar 07 00:00:29 CET 2021","Sun Mar 07 00:00:36 CET 2021","7088","","MarketPlace Test - Search Box Returns Relevant Results","","MarketPlace Test - Search Box Returns Relevant Results","Sort by Price","Sort by Price",""
"passed","Sat Mar 06 23:59:44 CET 2021","Sat Mar 06 23:59:54 CET 2021","9707","","Edit Account Details Test","","Edit Account Details Test","Edit the field username of Account details page and verify the success message","Edit the field username of Account details page and verify the success message",""
"passed","Sun Mar 07 00:00:07 CET 2021","Sun Mar 07 00:00:10 CET 2021","3019","","Registration Test","","Registration Test","Enter User credentials for Registration then verify page title and url","Enter User credentials for Registration then verify page title and url",""
"passed","Sun Mar 07 00:00:22 CET 2021","Sun Mar 07 00:00:29 CET 2021","7044","","MarketPlace Test - Search Box Returns Relevant Results","","MarketPlace Test - Search Box Returns Relevant Results","Sort by Rating","Sort by Rating",""
"passed","Sun Mar 07 00:00:14 CET 2021","Sun Mar 07 00:00:19 CET 2021","4532","","MarketPlace Test - Search Box Returns Relevant Results","","MarketPlace Test - Search Box Returns Relevant Results","Enter Value in search bar and verify the search result","Enter Value in search bar and verify the search result",""
"passed","Sat Mar 06 23:59:58 CET 2021","Sun Mar 07 00:00:00 CET 2021","2269","","Login Test - Invalid Login with Incorrect Email and Password","","Login Test - Invalid Login with Incorrect Email and Password","Enter wrong password for Invalid login","Enter wrong password for Invalid login",""
"passed","Sun Mar 07 00:00:00 CET 2021","Sun Mar 07 00:00:01 CET 2021","1811","","Forgot Password Test","","Forgot Password Test","Click Forgot your password? link and verify forgot password page header title","Click Forgot your password? link and verify forgot password page header title",""
"passed","Sat Mar 06 23:59:46 CET 2021","Sat Mar 06 23:59:48 CET 2021","2204","","Login Test - Valid Login","","Login Test - Valid Login","Verify Login Page Logo and label is visible","Verify Login Page Logo and label is visible",""
